iter	Passed	Remaining
821	60061	13006
822	60116	12929
823	60176	12853
824	60241	12778
825	60305	12703
826	60358	12626
827	60413	12549
828	60474	12474
829	60539	12399
830	60601	12324
831	60653	12247
832	60698	12168
833	60744	12090
834	60796	12013
835	60842	11935
836	60890	11858
837	60948	11782
838	60993	11704
839	61037	11626
840	61081	11548
841	61122	11469
842	61169	11392
843	61218	11315
844	61268	11238
845	61318	11161
846	61369	11085
847	61422	11009
848	61478	10934
849	61535	10859
850	61591	10783
851	61644	10708
852	61700	10632
853	61774	10561
854	61840	10487
855	61898	10412
856	61961	10338
857	62049	10269
858	62129	10198
859	62208	10126
860	62318	10060
861	62396	9989
862	62454	9914
863	62507	9839
864	62565	9764
865	62633	9691
866	62689	9616
867	62748	9542
868	62803	9467
869	62859	9392
870	62912	9317
871	62963	9242
872	63012	9166
873	63061	9091
874	63107	9015
875	63158	8940
876	63205	8864
877	63254	8789
878	63324	8717
879	63381	8642
880	63435	8568
881	63498	8495
882	63544	8419
883	63590	8344
884	63639	8269
885	63687	8194
886	63778	8125
887	63847	8052
888	63900	7978
889	63947	7903
890	63999	7829
891	64047	7754
892	64103	7680
893	64153	7606
894	64202	7532
895	64250	7457
896	64301	7383
897	64352	7309
898	64399	7235
899	64443	7160
900	64492	7086
901	64568	7015
902	64621	6941
903	64677	6868
904	64724	6794
905	64770	6720
906	64819	6646
907	64865	6572
908	64907	6497
909	64953	6423
910	64998	6350
911	65044	6276
912	65091	6202
913	65138	6128
914	65184	6055
915	65232	5981
916	65277	5908
917	65320	5834
918	65363	5761
919	65404	5687
920	65445	5613
921	65502	5541
922	65544	5467
923	65590	5394
924	65635	5321
925	65683	5249
926	65728	5176
927	65774	5103
928	65822	5030
929	65870	4957
930	65920	4885
931	65966	4813
932	66018	4740
933	66060	4668
934	66103	4595
935	66146	4522
936	66193	4450
937	66238	4378
938	66284	4306
939	66330	4233
940	66370	4161
941	66414	4089
942	66458	4017
943	66499	3944
944	66541	3872
945	66585	3800
946	66628	3728
947	66667	3656
948	66709	3585
949	66752	3513
950	66792	3441
951	66835	3369
952	66876	3298
953	66917	3226
954	66958	3155
955	66998	3083
956	67043	3012
957	67094	2941
958	67148	2870
959	67195	2799
960	67241	2728
961	67285	2657
962	67327	2586
963	67368	2515
964	67411	2444
965	67453	2374
966	67496	2303
967	67538	2232
968	67580	2162
969	67624	2091
970	67665	2020
971	67712	1950
972	67761	1880
973	67805	1809
974	67849	1739
975	67894	1669
976	67937	1599
977	67984	1529
978	68026	1459
979	68067	1389
980	68110	1319
981	68154	1249
982	68199	1179
983	68243	1109
